"","year","state_alpha","commodity_desc","YIELD","AREA PLANTED","PRODUCTION","PRICE RECEIVED"
"1",2015,"IL","SOYBEANS",54.6,NA,NA,NA
"2",2016,"IL","SOYBEANS",60.2,NA,NA,NA
"3",2017,"IL","SOYBEANS",57.4625,NA,NA,9.62384615384615
"4",2018,"IL","SOYBEANS",65.0714285714286,NA,NA,NA
"5",2019,"IL","SOYBEANS",52.8,10150000,NA,NA
"6",2020,"IL","SOYBEANS",60.8,NA,NA,NA
"7",2015,"IA","SOYBEANS",54.1,NA,444381194.833333,NA
"8",2016,"IA","SOYBEANS",58.4,NA,NA,NA
"9",2017,"IA","SOYBEANS",55.725,NA,NA,NA
"10",2018,"IA","SOYBEANS",58.5714285714286,NA,NA,NA
"11",2019,"IA","SOYBEANS",54,NA,NA,NA
"12",2020,"IA","SOYBEANS",55.2,NA,NA,9.14384615384615
"13",2015,"NE","SOYBEANS",56.9142857142857,NA,NA,NA
"14",2016,"NE","SOYBEANS",60.6571428571429,NA,NA,NA
"15",2017,"NE","SOYBEANS",57.16,NA,NA,NA
"16",2018,"NE","SOYBEANS",62.12,NA,NA,NA
"17",2019,"NE","SOYBEANS",57.5,5060000,236177033.333333,NA
"18",2020,"NE","SOYBEANS",59.6,NA,NA,NA
"19",2015,"IL","CORN",171.6,NA,NA,NA
"20",2016,"IL","CORN",200.2,NA,NA,NA
"21",2017,"IL","CORN",196.325,NA,NA,NA
"22",2018,"IL","CORN",211.571428571429,NA,NA,NA
"23",2019,"IL","CORN",180,NA,NA,3.72923076923077
"24",2020,"IL","CORN",199.2,NA,NA,NA
"25",2015,"IA","CORN",185.6,NA,NA,NA
"26",2016,"IA","CORN",198.6,NA,NA,NA
"27",2017,"IA","CORN",195.5375,NA,NA,NA
"28",2018,"IA","CORN",201.714285714286,13250000,2573460000,NA
"29",2019,"IA","CORN",192.8,NA,NA,NA
"30",2020,"IA","CORN",188,NA,NA,NA
"31",2015,"NE","CORN",183.971428571429,NA,NA,3.74
"32",2016,"NE","CORN",180.157142857143,NA,1294527082.25,NA
"33",2017,"NE","CORN",179.51,NA,NA,NA
"34",2018,"NE","CORN",200.51,NA,NA,NA
"35",2019,"NE","CORN",184.4,NA,NA,NA
"36",2020,"NE","CORN",186.2,NA,NA,NA
"37",2015,"IL","WHEAT",65.625,566000,NA,NA
"38",2016,"IL","WHEAT",72.3333333333333,NA,NA,3.81923076923077
"39",2017,"IL","WHEAT",77.9666666666667,NA,NA,NA
"40",2018,"IL","WHEAT",71.125,NA,37275000,NA
"41",2019,"IL","WHEAT",65.6666666666667,NA,NA,NA
"42",2020,"IL","WHEAT",69.5,NA,NA,NA
"43",2015,"IA","WHEAT",52,NA,NA,NA
"44",2016,"IA","WHEAT",63,NA,NA,3.62
"45",2017,"IA","WHEAT",60.56,NA,NA,NA
"46",2018,"IA","WHEAT",58,18857.1428571429,348000,NA
"47",2015,"NE","WHEAT",42.13,NA,NA,NA
"48",2016,"NE","WHEAT",54.825,NA,41857440.9090909,NA
"49",2017,"NE","WHEAT",NA,NA,NA,3.53692307692308
"50",2018,"NE","WHEAT",55.7272727272727,NA,NA,NA
"51",2019,"NE","WHEAT",57.7,NA,34147541.2727273,NA
"52",2020,"NE","WHEAT",45.3333333333333,911428.571428571,NA,NA
"53",2017,"IA","OATS",73.55,NA,NA,NA
"54",2018,"IA","OATS",65,NA,NA,2.92846153846154
"55",2019,"IA","OATS",62,NA,NA,NA
"56",2020,"IA","OATS",73,NA,NA,NA
"57",2016,"NE","OATS",62.6666666666667,NA,NA,NA
"58",2018,"NE","SORGHUM",105.142857142857,NA,NA,NA
"59",2015,"IA","OATS",NA,132500,NA,3.08153846153846
"60",2018,"NE","OATS",NA,131666.666666667,NA,NA
"61",2019,"NE","SORGHUM",NA,213000,NA,NA
"62",2020,"NE","POTATOES",NA,13828.8,NA,NA
"63",2016,"IL","BARLEY",NA,NA,2229,NA
"64",2017,"IL","OATS",NA,NA,NA,NA
"65",2018,"IL","OATS",NA,NA,2231666.66666667,NA
"66",2016,"IA","OATS",NA,NA,2744250.5,NA
"67",2020,"NE","OATS",NA,NA,1429000,NA
"68",2017,"IA","SORGHUM",NA,NA,NA,NA
"69",2015,"NE","SORGHUM",NA,NA,NA,NA
"70",2015,"IL","OATS",NA,NA,NA,NA
"71",2017,"NE","OATS",NA,NA,NA,NA
